# map file
# Format: waterfowl, virus, longitude, latitude
# "Bodies of water could serve as a transmission pathway" 
# http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0012851
Blue-Winged Teal,H4N6,29.77322,-94.68812
Blue-Winged Teal,H4N6,29.59007,-94.58782
Blue-Winged Teal,H4N6,29.59007,-94.58782
Blue-Winged Teal,H4N6,29.77322,-94.68812
Mallard,H4N6,48.95568,-96.20973
Mallard,H4N6,48.95568,-96.20973
Mallard,H4N6,48.95568,-96.20973
Mallard,H4N6,48.95568,-96.20973
Mallard,H4N6,48.95568,-96.20973
Mallard,H4N6,48.95568,-96.20973
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.39834,-95.9962
Mallard,H4N6,48.39834,-95.9962
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.39834,-95.9962
Mallard,H4N6,48.39834,-95.9962
Blue-Winged Teal,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Ring-Necked Duck,H4N6,48.48333,-95.88333
Blue-Winged Teal,H4N6,48.48333,-95.88333
Ring-Necked Duck,H4N6,48.48333,-95.88333
Redhead,H4N6,48.27028,-96.03963
Mallard,H4N6,48.27028,-96.03963
Mallard,H4N6,48.27028,-96.03963
Blue-Winged Teal,H4N6,48.92438,-96.20704
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.958316,-96.100283
Mallard,H4N6,48.958316,-96.100283
Mallard,H4N6,48.958316,-96.100283
Mallard,H4N6,48.958316,-96.100283
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.398342,-95.996197
Mallard,H4N6,48.398342,-95.996197
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.499281,-95.926203
Mallard,H4N6,48.499281,-95.926203
Blue-Winged Teal,H4N6,48.4556,-95.953547
Blue-Winged Teal,H4N6,48.4556,-95.953547
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.955681,-96.209728
Mallard,H4N6,48.958316,-96.100283
Mallard,H4N6,48.294592,-96.030433
Mallard,H4N6,48.294592,-96.030433
Mallard,H4N6,48.294592,-96.030433
Green-Winged Teal,H4N6,48.398342,-95.996197
Blue-Winged Teal,H4N6,48.4556,-95.953547
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard X Am. Black Duck Hybrid,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Gadwall,H4N6,48.48333,-95.88333
Gadwall,H4N6,48.48333,-95.88333
Gadwall,H4N6,48.48333,-95.88333
Gadwall,H4N6,48.48333,-95.88333
Gadwall,H4N6,48.48333,-95.88333
Gadwall,H4N6,48.48333,-95.88333
Gadwall,H4N6,48.48333,-95.88333
Gadwall,H4N6,48.48333,-95.88333
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Environment,H4N6,48.48333,-95.88333
Mallard,H4N6,48.39834,-95.9962
Mallard,H4N6,48.39834,-95.9962
Mallard,H4N6,48.39834,-95.9962
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Pintail,H4N6,48.92438,-96.20704
Blue-Winged Teal,H4N6,48.4556,-95.95355
Blue-Winged Teal,H4N6,48.4556,-95.95355
Blue-Winged Teal,H4N6,48.48333,-95.88333
Blue-Winged Teal,H4N6,48.4556,-95.95355
Blue-Winged Teal,H4N6,48.4556,-95.95355
Mallard,H4N6,48.37031,-95.91084
Mallard,H4N6,48.37031,-95.91084
Blue-Winged Teal,H4N6,48.48333,-95.88333
Mallard,H4N6,48.39834,-95.9962
Mallard,H4N6,48.48333,-95.88333
Blue-Winged Teal,H4N6,48.48333,-95.88333
Mallard,H4N6,48.92438,-96.20704
American Wigeon,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Mallard,H4N6,48.92438,-96.20704
Blue-Winged Teal,H4N6,29.6925,-94.628889
Mallard,H4N6,40.38356734,-74.41969644
Blue-Winged Teal,H4N6,29.6925,-94.628889
Mallard,H4N6,39.002703,-74.773028
Blue-Winged Teal,H4N6,28.97257778,-95.44598333
Mallard,H4N6,48.48333,-95.88333
Blue-Winged Teal,H4N6,29.9704,-93.360297
Blue-Winged Teal,H4N6,29.9704,-93.360297
Blue-Winged Teal,H4N6,29.773223,-94.688115
Blue-Winged Teal,H4N6,29.773223,-94.688115
Blue-Winged Teal,H4N6,48.958316,-96.100283
Mallard,H4N6,48.37030556,-95.91084167
Pintail,H4N6,48.37030556,-95.91084167
Blue-Winged Teal,H4N6,29.6925,-94.628889
Blue-Winged Teal,H4N6,29.6925,-94.628889
Blue-Winged Teal,H4N6,29.6925,-94.628889
Environment,H4N6,48.37030556,-95.91084167
Environment,H4N6,48.37030556,-95.91084167
Environment,H4N6,48.37030556,-95.91084167
Environment,H4N6,48.37030556,-95.91084167
Blue-Winged Teal,H4N6,29.6925,-94.628889
Mallard,H4N6,40.38356734,-74.41969644
Mallard,H4N6,48.37030556,-95.91084167
Blue-Winged Teal,H4N6,28.97257778,-95.44598333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.543739,-95.970553
Mallard,H4N6,48.95833,-96.1
Mallard,H4N6,48.95833,-96.1
Blue-Winged Teal,H4N6,48.95833,-96.1
Blue-Winged Teal,H4N6,48.95833,-96.1
Mallard,H4N6,48.95833,-96.1
Mallard,H4N6,48.95833,-96.1
Mallard,H4N6,48.499281,-95.926203
Green-Winged Teal,H4N6,48.398342,-95.996197
Green-Winged Teal,H4N6,48.398342,-95.996197
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Mallard,H4N6,48.4556,-95.953547
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.59317,-101.16843
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Blue-Winged Teal,H4N6,47.4364017,-102.648513
Mallard,H4N6,48.95833,-96.1
Mallard,H4N6,48.95833,-96.1
Mallard,H4N6,48.95833,-96.1
Mallard,H4N6,48.398342,-95.996197
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
Mallard,H4N6,48.48333,-95.88333
