# map file
# Format: waterfowl, virus, longitude, latitude
# An influenza variant: "mutated while in the waterfowl creating a new variant that is capable from jumping from waterfowl to seals".  
# http://www.healthmap.org/site/diseasedaily/article/baby-seals-die-new-influenza-variant-not-bird-flu-8112
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.6925,-94.62889
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.6925,-94.62889
Blue-Winged Teal,H3N8,29.6925,-94.62889
Blue-Winged Teal,H3N8,48.48333,-95.88333
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Green-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.59007,-94.58782
Blue-Winged Teal,H3N8,29.59007,-94.58782
Blue-Winged Teal,H3N8,29.6925,-94.62889
Blue-Winged Teal,H3N8,29.59007,-94.58782
Blue-Winged Teal,H3N8,29.6925,-94.62889
Green-Winged Teal,H3N8,29.6925,-94.62889
Blue-Winged Teal,H3N8,29.6925,-94.62889
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Blue-Winged Teal,H3N8,29.77322,-94.68812
Mallard,H3N8,48.95568,-96.20973
Mallard,H3N8,48.95568,-96.20973
Mallard,H3N8,48.95568,-96.20973
Mallard,H3N8,48.95568,-96.20973
Mallard,H3N8,48.95568,-96.20973
Mallard,H3N8,48.95568,-96.20973
Mallard,H3N8,48.95568,-96.20973
Green-Winged Teal,H3N8,48.95568,-96.20973
American Wigeon,H3N8,48.95568,-96.20973
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.39834,-95.9962
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Blue-Winged Teal,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Ring-Necked Duck,H3N8,48.48333,-95.88333
Blue-Winged Teal,H3N8,48.27028,-96.03963
Mallard,H3N8,48.27028,-96.03963
Mallard,H3N8,48.27028,-96.03963
Mallard,H3N8,48.27028,-96.03963
Mallard,H3N8,48.27028,-96.03963
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Canvasback,H3N8,48.27028,-96.03963
Gadwall,H3N8,48.27028,-96.03963
Blue-Winged Teal,H3N8,48.95568,-96.20973
Blue-Winged Teal,H3N8,48.95568,-96.20973
Blue-Winged Teal,H3N8,48.95568,-96.20973
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.958316,-96.100283
Mallard,H3N8,48.958316,-96.100283
Mallard,H3N8,48.958316,-96.100283
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.92438,-96.20704
Blue-Winged Teal,H3N8,48.48333,-95.88333
Ruddy Turnstone,H3N8,32.0288,-80.85126
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
American Black Duck,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.4556,-95.953547
Gadwall,H3N8,48.294592,-96.030433
Gadwall,H3N8,48.294592,-96.030433
Blue-Winged Teal,H3N8,48.294592,-96.030433
Blue-Winged Teal,H3N8,48.294592,-96.030433
Blue-Winged Teal,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Green-Winged Teal,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Blue-Winged Teal,H3N8,48.398342,-95.996197
Blue-Winged Teal,H3N8,48.398342,-95.996197
Mallard,H3N8,48.4556,-95.953547
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.39834,-95.9962
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,40.38356734,-74.41969644
Mallard,H3N8,40.38356734,-74.41969644
Mallard,H3N8,40.38356734,-74.41969644
Mallard,H3N8,40.38356734,-74.41969644
Green-Winged Teal,H3N8,48.294592,-96.030433
Green-Winged Teal,H3N8,48.294592,-96.030433
Blue-Winged Teal,H3N8,48.4556,-95.953547
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.6925,-94.628889
Blue-Winged Teal,H3N8,29.6925,-94.628889
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,28.97257778,-95.44598333
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.773223,-94.688115
Blue-Winged Teal,H3N8,29.9704,-93.360297
Blue-Winged Teal,H3N8,48.48333,-95.88333
Blue-Winged Teal,H3N8,29.9704,-93.360297
Blue-Winged Teal,H3N8,29.6925,-94.628889
Environment,H3N8,48.37030556,-95.91084167
Mallard,H3N8,40.38356734,-74.41969644
Mallard,H3N8,40.38356734,-74.41969644
Mallard,H3N8,40.38356734,-74.41969644
Mallard,H3N8,40.38356734,-74.41969644
Mallard,H3N8,40.38356734,-74.41969644
American Black Duck,H3N8,40.38356734,-74.41969644
Mallard,H3N8,40.38356734,-74.41969644
